asset_slot,output_path,category,purpose,format,aspect,priority,status,approval_dependency,source_reference
IMG/logo/main,assets/ui/generated/branding/logo_forest_arena.png,branding,Main FOREST ARENA transparent logo,transparent PNG,wide,high,missing,design-approval-required,
IMG/logo/small,assets/ui/generated/branding/logo_forest_arena_small.png,branding,Compact loading and top UI logo,transparent PNG,wide,medium,missing,design-approval-required,
IMG/bg/splash,assets/ui/generated/background/bg_splash_forest.png,background,Character-free splash forest environment,PNG or WebP,16:9,high,missing,no-character-required,
IMG/bg/login,assets/ui/generated/background/bg_login_village.png,background,Bright fantasy forest village,PNG or WebP,16:9,high,missing,design-approval-required,
IMG/bg/lobby,assets/ui/generated/background/bg_lobby_forest_town.png,background,Main bright forest town lobby,PNG or WebP,16:9,high,missing,design-approval-required,
IMG/bg/character-room,assets/ui/generated/background/bg_character_room.png,background,Character collection and detail backdrop,PNG or WebP,16:9,medium,missing,design-approval-required,
IMG/bg/accessory-workshop,assets/ui/generated/background/bg_accessory_workshop.png,background,Accessory workshop forest backdrop,PNG or WebP,16:9,medium,missing,no-rarity-required,
IMG/bg/mode/story,assets/ui/generated/background/bg_mode_story.png,background,Story mode card illustration,PNG or WebP,3:2,medium,missing,design-approval-required,
IMG/bg/mode/solo,assets/ui/generated/background/bg_mode_solo.png,background,Solo mode card illustration,PNG or WebP,3:2,medium,missing,design-approval-required,
IMG/bg/mode/team,assets/ui/generated/background/bg_mode_team.png,background,Team mode party illustration,PNG or WebP,3:2,medium,missing,design-approval-required,
IMG/bg/mode/ai,assets/ui/generated/background/bg_mode_ai.png,background,AI battle mode card illustration,PNG or WebP,3:2,medium,missing,design-approval-required,
IMG/bg/mode/practice,assets/ui/generated/background/bg_mode_training.png,background,Practice mode card illustration,PNG or WebP,3:2,medium,missing,design-approval-required,
IMG/bg/matchmaking,assets/ui/generated/background/bg_matchmaking.png,background,Matchmaking portal forest scene,PNG or WebP,16:9,medium,missing,phase-7-online,
IMG/bg/loading,assets/ui/generated/background/bg_loading.png,background,Pre-battle loading environment,PNG or WebP,16:9,medium,missing,design-approval-required,
IMG/bg/victory,assets/ui/generated/background/bg_victory.png,background,Celebratory forest result background,PNG or WebP,16:9,medium,missing,design-approval-required,
IMG/char/mouse/full,assets/ui/generated/character/main/char_mouse_full.png,character,Ja-Hyun mouse-theme full body,transparent PNG,portrait-full-body,high,source-approved-output-missing,approved-character-ja-hyun,assets/character/ja-hyun/concept/ja-hyun-concept-v01.png
IMG/char/mouse/bust,assets/ui/generated/character/main/char_mouse_bust.png,character,Ja-Hyun mouse-theme bust,transparent PNG,portrait,high,source-approved-output-missing,approved-character-ja-hyun,assets/character/ja-hyun/concept/ja-hyun-concept-v01.png
IMG/char/mouse/face,assets/ui/generated/character/main/char_mouse_face.png,character,Ja-Hyun mouse-theme card portrait,PNG,1:1,high,source-approved-output-missing,approved-character-ja-hyun,assets/character/ja-hyun/concept/ja-hyun-concept-v01.png
IMG/char/rabbit/full,assets/ui/generated/character/main/char_rabbit_full.png,character,Myo-Ryung rabbit-theme full body,transparent PNG,portrait-full-body,high,source-approved-output-missing,approved-character-myo-ryung,assets/character/myo-ryung/concept/myo-ryung-concept-v01.png
IMG/char/rabbit/bust,assets/ui/generated/character/main/char_rabbit_bust.png,character,Myo-Ryung rabbit-theme bust,transparent PNG,portrait,high,source-approved-output-missing,approved-character-myo-ryung,assets/character/myo-ryung/concept/myo-ryung-concept-v01.png
IMG/char/rabbit/face,assets/ui/generated/character/main/char_rabbit_face.png,character,Myo-Ryung rabbit-theme card portrait,PNG,1:1,high,source-approved-output-missing,approved-character-myo-ryung,assets/character/myo-ryung/concept/myo-ryung-concept-v01.png
IMG/char/roster/fox,assets/ui/generated/character/roster/char_fox_face.png,character,Future original fox-theme fighter portrait,PNG,1:1,medium,blocked,character-approval-required,
IMG/char/roster/wolf,assets/ui/generated/character/roster/char_wolf_face.png,character,Future original wolf-theme fighter portrait,PNG,1:1,medium,blocked,character-approval-required,
IMG/char/roster/deer,assets/ui/generated/character/roster/char_deer_face.png,character,Future original deer-theme fighter portrait,PNG,1:1,medium,blocked,character-approval-required,
IMG/char/roster/cat,assets/ui/generated/character/roster/char_cat_face.png,character,Nabi cat-theme fighter portrait,PNG,1:1,medium,source-approved-output-missing,approved-character-nabi,assets/character/nabi/concept/nabi-concept-v01.png
IMG/char/roster/raccoon,assets/ui/generated/character/roster/char_raccoon_face.png,character,Future original raccoon-theme fighter portrait,PNG,1:1,medium,blocked,character-approval-required,
IMG/char/roster/extra-01,assets/ui/generated/character/roster/char_extra_01_face.png,character,Future eighth roster fighter portrait,PNG,1:1,medium,blocked,character-approval-required,
IMG/accessory/wind-gauntlet,assets/ui/generated/accessory/acc_wind_gauntlet.png,accessory,Isolated wind gauntlet with no rarity cues,transparent PNG,1:1,high,missing,no-rarity-required,
